region,no_hours,error_margin
Norden,35 timmar eller mer,4
Norden,35 timmar eller mer,7
Norden,35 timmar eller mer,4
EU15 utom Danmark och Finland,35 timmar eller mer,4
EU15 utom Danmark och Finland,35 timmar eller mer,6
EU15 utom Danmark och Finland,35 timmar eller mer,4
Europa och Sovjetunionen,35 timmar eller mer,5
Europa och Sovjetunionen,35 timmar eller mer,7
Europa och Sovjetunionen,35 timmar eller mer,5
Afrika,35 timmar eller mer,9
Afrika,35 timmar eller mer,10
Afrika,35 timmar eller mer,7
Nordamerika,35 timmar eller mer,6
Nordamerika,35 timmar eller mer,8
Nordamerika,35 timmar eller mer,5
Asien,35 timmar eller mer,8
Asien,35 timmar eller mer,10
Asien,35 timmar eller mer,6
"Sydamerika, Oceanien och okända",35 timmar eller mer,16
"Sydamerika, Oceanien och okända",35 timmar eller mer,19
"Sydamerika, Oceanien och okända",35 timmar eller mer,13
Norden,20 - 34 timmar,3
Norden,20 - 34 timmar,6
Norden,20 - 34 timmar,4
EU15 utom Danmark och Finland,20 - 34 timmar,4
EU15 utom Danmark och Finland,20 - 34 timmar,5
EU15 utom Danmark och Finland,20 - 34 timmar,3
Europa och Sovjetunionen,20 - 34 timmar,4
Europa och Sovjetunionen,20 - 34 timmar,6
Europa och Sovjetunionen,20 - 34 timmar,4
Afrika,20 - 34 timmar,6
Afrika,20 - 34 timmar,7
Afrika,20 - 34 timmar,4
Nordamerika,20 - 34 timmar,4
Nordamerika,20 - 34 timmar,7
Nordamerika,20 - 34 timmar,4
Asien,20 - 34 timmar,4
Asien,20 - 34 timmar,8
Asien,20 - 34 timmar,5
"Sydamerika, Oceanien och okända",20 - 34 timmar,..
"Sydamerika, Oceanien och okända",20 - 34 timmar,17
"Sydamerika, Oceanien och okända",20 - 34 timmar,12
Norden,15 - 19 timmar,0
Norden,15 - 19 timmar,..
Norden,15 - 19 timmar,..
EU15 utom Danmark och Finland,15 - 19 timmar,2
EU15 utom Danmark och Finland,15 - 19 timmar,2
EU15 utom Danmark och Finland,15 - 19 timmar,2
Europa och Sovjetunionen,15 - 19 timmar,2
Europa och Sovjetunionen,15 - 19 timmar,6
Europa och Sovjetunionen,15 - 19 timmar,4
Afrika,15 - 19 timmar,7
Afrika,15 - 19 timmar,4
Afrika,15 - 19 timmar,5
Nordamerika,15 - 19 timmar,3
Nordamerika,15 - 19 timmar,5
Nordamerika,15 - 19 timmar,3
Asien,15 - 19 timmar,4
Asien,15 - 19 timmar,7
Asien,15 - 19 timmar,4
"Sydamerika, Oceanien och okända",15 - 19 timmar,0
"Sydamerika, Oceanien och okända",15 - 19 timmar,14
"Sydamerika, Oceanien och okända",15 - 19 timmar,8
Norden,mindre än 5 timmar,0
Norden,mindre än 5 timmar,..
Norden,mindre än 5 timmar,..
EU15 utom Danmark och Finland,mindre än 5 timmar,2
EU15 utom Danmark och Finland,mindre än 5 timmar,2
EU15 utom Danmark och Finland,mindre än 5 timmar,2
Europa och Sovjetunionen,mindre än 5 timmar,..
Europa och Sovjetunionen,mindre än 5 timmar,..
Europa och Sovjetunionen,mindre än 5 timmar,1
Afrika,mindre än 5 timmar,4
Afrika,mindre än 5 timmar,5
Afrika,mindre än 5 timmar,3
Nordamerika,mindre än 5 timmar,3
Nordamerika,mindre än 5 timmar,2
Nordamerika,mindre än 5 timmar,..
Asien,mindre än 5 timmar,5
Asien,mindre än 5 timmar,3
Asien,mindre än 5 timmar,3
"Sydamerika, Oceanien och okända",mindre än 5 timmar,0
"Sydamerika, Oceanien och okända",mindre än 5 timmar,0
"Sydamerika, Oceanien och okända",mindre än 5 timmar,0
Norden,uppgift saknas,2
Norden,uppgift saknas,2
Norden,uppgift saknas,1
EU15 utom Danmark och Finland,uppgift saknas,1
EU15 utom Danmark och Finland,uppgift saknas,3
EU15 utom Danmark och Finland,uppgift saknas,2
Europa och Sovjetunionen,uppgift saknas,2
Europa och Sovjetunionen,uppgift saknas,3
Europa och Sovjetunionen,uppgift saknas,2
Afrika,uppgift saknas,2
Afrika,uppgift saknas,7
Afrika,uppgift saknas,3
Nordamerika,uppgift saknas,4
Nordamerika,uppgift saknas,3
Nordamerika,uppgift saknas,2
Asien,uppgift saknas,5
Asien,uppgift saknas,5
Asien,uppgift saknas,3
"Sydamerika, Oceanien och okända",uppgift saknas,5
"Sydamerika, Oceanien och okända",uppgift saknas,6
"Sydamerika, Oceanien och okända",uppgift saknas,4
